timestamp,run_tag,horizon_hours,n_train,n_test,train_start,train_end,test_start,test_end,model,MAE,RMSE,R2
2026-08-02T15:29:02,2yr_tuned,24,9996,1765,2024-07-02 00:00:00+00:00,2026-04-25 12:00:00+00:00,2026-04-25 13:00:00+00:00,2026-07-13 20:00:00+00:00,random_forest_tuned,2.2481769540334144,3.1290551119472916,0.2340916427824974
2026-08-02T15:29:02,2yr_tuned,24,9996,1765,2024-07-02 00:00:00+00:00,2026-04-25 12:00:00+00:00,2026-04-25 13:00:00+00:00,2026-07-13 20:00:00+00:00,xgboost_tuned,2.171362520173109,3.0956740493848716,0.2503460449239862
2026-08-02T15:31:58,2yr_tuned,24,9996,1765,2024-07-02 00:00:00+00:00,2026-04-25 12:00:00+00:00,2026-04-25 13:00:00+00:00,2026-07-13 20:00:00+00:00,persistence_baseline,2.8310971356625747,4.111230214028167,-0.3221903290724921
2026-08-02T15:31:58,2yr_tuned,24,9996,1765,2024-07-02 00:00:00+00:00,2026-04-25 12:00:00+00:00,2026-04-25 13:00:00+00:00,2026-07-13 20:00:00+00:00,ridge_tuned,2.3489712877724895,3.257501636978871,0.1699205376722771
2026-08-02T15:31:58,2yr_tuned,24,9996,1765,2024-07-02 00:00:00+00:00,2026-04-25 12:00:00+00:00,2026-04-25 13:00:00+00:00,2026-07-13 20:00:00+00:00,random_forest_tuned,2.2481769540334144,3.1290551119472916,0.2340916427824974
2026-08-02T15:31:58,2yr_tuned,24,9996,1765,2024-07-02 00:00:00+00:00,2026-04-25 12:00:00+00:00,2026-04-25 13:00:00+00:00,2026-07-13 20:00:00+00:00,xgboost_tuned,2.171362520173109,3.0956740493848716,0.2503460449239862
2026-08-02T15:41:33,diag_2yr_train_fixedtest_forecast_aligned,24,9996,1765,2024-07-02 00:00:00+00:00,2026-04-25 12:00:00+00:00,2026-04-25 13:00:00+00:00,2026-07-13 20:00:00+00:00,ridge,2.3489712877724895,3.257501636978871,0.1699205376722771
2026-08-02T15:41:33,diag_2yr_train_fixedtest_forecast_aligned,24,9996,1765,2024-07-02 00:00:00+00:00,2026-04-25 12:00:00+00:00,2026-04-25 13:00:00+00:00,2026-07-13 20:00:00+00:00,random_forest,2.248176954033415,3.1290551119472916,0.2340916427824974
2026-08-02T15:41:33,diag_2yr_train_fixedtest_forecast_aligned,24,9996,1765,2024-07-02 00:00:00+00:00,2026-04-25 12:00:00+00:00,2026-04-25 13:00:00+00:00,2026-07-13 20:00:00+00:00,xgboost,2.171362520173109,3.0956740493848716,0.2503460449239862
2026-08-02T15:44:48,diag_1yr_train_fixedtest_forecast_aligned,24,5825,1765,2025-08-05 13:00:00+00:00,2026-04-25 12:00:00+00:00,2026-04-25 13:00:00+00:00,2026-07-13 20:00:00+00:00,ridge,2.4612418917254146,3.385339800957299,0.10349045479383767
2026-08-02T15:44:48,diag_1yr_train_fixedtest_forecast_aligned,24,5825,1765,2025-08-05 13:00:00+00:00,2026-04-25 12:00:00+00:00,2026-04-25 13:00:00+00:00,2026-07-13 20:00:00+00:00,random_forest,2.389150206053228,3.220383671278059,0.18872962852143882
2026-08-02T15:44:48,diag_1yr_train_fixedtest_forecast_aligned,24,5825,1765,2025-08-05 13:00:00+00:00,2026-04-25 12:00:00+00:00,2026-04-25 13:00:00+00:00,2026-07-13 20:00:00+00:00,xgboost,2.1251206122515147,2.9777163292065905,0.3063873126171346
